horizon,feature_set,train_window,seeds,ic_mean,ic_median,ic_std,ic_min,ic_max,positive_seed_fraction,spread_mean,valid_ic_mean,best_epoch_mean,ic_minus_std,ic_2018,ic_2019,ic_2020,ic_2021,ic_2022,ic_2023,ic_2024,ic_2025,ic_2026
20,no_market_context,expanding,16,0.051719069060512456,0.05337836047289583,0.010518585408183052,0.034432457096961,0.06499553120979465,1.0,0.02006489883284852,0.08280005309218272,14.256944444444445,0.0412004836523294,0.05034872817543031,0.004564850146645908,0.07421569444104169,0.045508421788094194,0.05311153118605459,0.005383066009230544,0.02552782965443015,0.12355295010566206,0.08325855003802235
20,no_relative,3,16,0.025979625625220458,0.027205592510094107,0.010893698146575167,0.0023176348338227026,0.04767883524672475,1.0,0.012432982973789197,0.06616740924859663,17.541666666666668,0.01508592747864529,0.051157228530980176,-0.027374161546044357,0.08476225592277721,0.03629134995579604,0.011123664167130325,0.0033935514372163376,-0.03122156864184712,0.021533911085095163,0.08415039971588016
20,no_relative,5,16,0.03323096371103957,0.03151179934411058,0.01456418818649154,0.007929469750830413,0.05726181972180534,1.0,0.01567103327025654,0.07711963159268553,13.784722222222223,0.01866677552454803,0.04632190316556155,-0.034875234920393135,0.08752156075134626,0.039268201499634885,0.024221728063415982,0.02868954760280744,-0.022483035987159474,0.05557714474772693,0.07483685847641548
20,no_relative,8,16,0.05422886040305972,0.05592399065972116,0.010094607057169361,0.03627423288233436,0.07015905672491798,1.0,0.02102573959245252,0.08143996884421642,17.979166666666668,0.044134253345890356,0.061792263798693424,-0.0021861484223520875,0.08866696568686475,0.049920250090687866,0.05753795655960075,0.05771446600593537,0.0014311393547114981,0.09676207673151901,0.0764207738218766
20,no_relative,expanding,16,0.051249674424130004,0.051437153393553564,0.01374519017002343,0.025299441740756476,0.06922050473417894,1.0,0.019994318381793958,0.0846554375989228,16.0625,0.037504484254106574,0.061792263798693424,-0.0021861484223520875,0.08866696568686475,0.05481283141051616,0.06053002715719347,0.03710031927373847,-0.013098298736722887,0.08640190846404092,0.08722720118519756
20,no_trend,3,16,0.01101570433765689,0.009832451780404688,0.007563043964972932,-0.000716244624951569,0.02454747240296682,0.9375,0.00917702768278845,0.05189191968756483,23.520833333333332,0.003452660372683958,0.039242334936372136,-0.03921957717912538,0.05167743832226765,0.01116902988065695,-0.022736888669370257,0.014672286294219076,-0.02382407611515965,0.008406288135088726,0.05975450343396273
20,no_trend,5,16,0.01894391891752637,0.02179855280996434,0.00911697981558276,0.005794557493857576,0.03587521119620332,1.0,0.010693682659742987,0.05754224956752017,19.51388888888889,0.009826939101943611,0.03945454360611695,-0.043971463484077655,0.06667160741847757,0.017194858566682077,-0.0052773616596340995,0.0008520530492741425,-0.011805518814400043,0.06780741222108676,0.039569139354211524
20,no_trend,8,16,0.031410738570976586,0.028851387309847126,0.009208270038830256,0.01686902003469267,0.05330411580631613,1.0,0.01607080971184186,0.0668123706745817,20.0,0.02220246853214633,0.04071684085161241,-0.0280220522908435,0.07397919984320256,0.03585838586517705,0.008125162153458819,0.022659588935027813,0.0021501413812596627,0.050097849056978117,0.07713153134291612
20,no_trend,expanding,16,0.03712156641085978,0.03803482926101327,0.006210571836098296,0.02786500609135567,0.047054116188071884,1.0,0.018593237136241825,0.06755727421372923,19.79861111111111,0.030910994574761482,0.04071684085161241,-0.0280220522908435,0.07397919984320256,0.03756803645683454,0.010585206444332305,0.024163213324827425,-0.005362702395137106,0.08250989652059167,0.09795645894231747
20,no_volatility,3,16,0.038208569732824674,0.039661853434076674,0.010679964573153363,0.011344008425327463,0.06037422948126969,1.0,0.016085933715635412,0.06624895012821745,18.20138888888889,0.02752860515967131,0.06311740882487288,0.00933413503198455,0.07001315628292129,0.04887670944425649,0.02841614447105094,0.014833356047672505,-0.008864982835084707,0.03394169237943107,0.08420950794831679
