year,horizon,seed,feature_set,train_window,train_rows,valid_rows,refit_rows,test_rows,best_epoch,best_valid_ic,test_ic,test_spread,refit_final_loss,clip_lo,clip_hi,run
2019,20,2026,all,expanding,67585,11176,79790,12050,15,0.0911709699124153,0.0048732765994788,-0.0050463027863993,0.6844526529312134,-0.1627968847751617,0.7242862582206726,v5_4b_repaired_h20_seed2026_20260829_162359
2020,20,2026,all,expanding,79790,11000,91840,12250,5,0.0648116321079845,0.0713179312541343,0.0222877904361638,0.6906746586163839,-0.1599200069904327,0.6954249143600464,v5_4b_repaired_h20_seed2026_20260829_162359
2021,20,2026,all,expanding,91840,11200,104090,12150,15,0.1070176642085405,0.0649654999844482,0.0272137807157274,0.6833831457530751,-0.1662531495094299,0.5463051795959473,v5_4b_repaired_h20_seed2026_20260829_162359
2022,20,2026,all,expanding,104090,11100,116240,12300,15,0.0960782528060012,0.0788042235388365,0.0198872285862182,0.6823340623002303,-0.175417959690094,0.5726451873779297,v5_4b_repaired_h20_seed2026_20260829_162359
2023,20,2026,all,expanding,116240,11250,128540,11950,5,0.0759207443250379,0.0204384874232646,0.0064603117396296,0.6887417776244027,-0.1767710298299789,0.4736236035823822,v5_4b_repaired_h20_seed2026_20260829_162359
2024,20,2026,all,expanding,128540,10900,140490,12100,1,0.0930528757105716,0.0570432489994903,0.0121260906804467,0.7563668722691743,-0.174796313047409,0.4286563694477081,v5_4b_repaired_h20_seed2026_20260829_162359
2025,20,2026,all,expanding,140490,11050,152590,12150,1,0.0662627983193077,0.1251042639277933,0.057433850106138,0.7596375942230225,-0.1791461855173111,0.3991438746452331,v5_4b_repaired_h20_seed2026_20260829_162359
2026,20,2026,all,expanding,152590,11100,164740,6900,5,0.1168199171560516,0.1016538550230626,0.0763804644276139,0.689547993518688,-0.1806980967521667,0.3842253684997558,v5_4b_repaired_h20_seed2026_20260829_162359
2018,20,3407,all,expanding,55678,10878,67585,12226,10,0.0407140554177225,0.047096732667738,0.0133388413698952,0.6889027790589766,-0.1552808582782745,0.7390825152397156,v5_4b_repaired_h20_seed3407_20260829_162400
2019,20,3407,all,expanding,67585,11176,79790,12050,10,0.0848241148748168,0.0539412086972984,0.0078902589236655,0.6871589284676772,-0.1627968847751617,0.7242862582206726,v5_4b_repaired_h20_seed3407_20260829_162400
2020,20,3407,all,expanding,79790,11000,91840,12250,15,0.070948054745299,0.082398804419727,0.0280945484809583,0.6854350447654725,-0.1599200069904327,0.6954249143600464,v5_4b_repaired_h20_seed3407_20260829_162400
2021,20,3407,all,expanding,91840,11200,104090,12150,25,0.1270871205625107,0.0846268852246746,0.02937347963808,0.6761452029733097,-0.1662531495094299,0.5463051795959473,v5_4b_repaired_h20_seed3407_20260829_162400
2022,20,3407,all,expanding,104090,11100,116240,12300,30,0.1014704760479034,0.081187211375221,0.0195747412143174,0.6772993175606978,-0.175417959690094,0.5726451873779297,v5_4b_repaired_h20_seed3407_20260829_162400
2023,20,3407,all,expanding,116240,11250,128540,11950,10,0.1045865124224173,0.055720152744225,0.0230939217162976,0.6860379264468238,-0.1767710298299789,0.4736236035823822,v5_4b_repaired_h20_seed3407_20260829_162400
2024,20,3407,all,expanding,128540,10900,140490,12100,25,0.0809603688319377,0.0094482330470224,-0.0010897795851506,0.6783448535463085,-0.174796313047409,0.4286563694477081,v5_4b_repaired_h20_seed3407_20260829_162400
2025,20,3407,all,expanding,140490,11050,152590,12150,1,0.0680475583934041,0.0970582801021643,0.0360179553092545,0.7697936630249024,-0.1791461855173111,0.3991438746452331,v5_4b_repaired_h20_seed3407_20260829_162400
2026,20,3407,all,expanding,152590,11100,164740,6900,10,0.1379159231260071,0.078936589393322,0.0625204071305787,0.6871120399898953,-0.1806980967521667,0.3842253684997558,v5_4b_repaired_h20_seed3407_20260829_162400
2018,20,8765,all,expanding,55678,10878,67585,12226,25,0.032281892275052,0.0327988454477042,0.0032476187780968,0.6779737309976057,-0.1552808582782745,0.7390825152397156,v5_4b_repaired_h20_seed8765_20260829_162404
2019,20,8765,all,expanding,67585,11176,79790,12050,15,0.07745475651859,0.0645442986043939,0.0073081936941743,0.6861213629062359,-0.1627968847751617,0.7242862582206726,v5_4b_repaired_h20_seed8765_20260829_162404
2020,20,8765,all,expanding,79790,11000,91840,12250,1,0.0805588966476167,0.0291970502486708,0.0005503420801053,0.7989840308825175,-0.1599200069904327,0.6954249143600464,v5_4b_repaired_h20_seed8765_20260829_162404
2021,20,8765,all,expanding,91840,11200,104090,12150,30,0.1245108043217286,0.0701163655653184,0.0421620394598298,0.6698351011556738,-0.1662531495094299,0.5463051795959473,v5_4b_repaired_h20_seed8765_20260829_162404
2022,20,8765,all,expanding,104090,11100,116240,12300,20,0.0834137529951183,0.0978133877631737,0.023524694207306,0.6796018512625444,-0.175417959690094,0.5726451873779297,v5_4b_repaired_h20_seed8765_20260829_162404
2023,20,8765,all,expanding,116240,11250,128540,11950,20,0.0834373322128191,0.0517893989898357,0.0160499744105827,0.6797155624344235,-0.1767710298299789,0.4736236035823822,v5_4b_repaired_h20_seed8765_20260829_162404
2024,20,8765,all,expanding,128540,10900,140490,12100,25,0.0914032147347609,-0.0347127550276788,-0.013879069791233,0.6777116630388342,-0.174796313047409,0.4286563694477081,v5_4b_repaired_h20_seed8765_20260829_162404
2025,20,8765,all,expanding,140490,11050,152590,12150,5,0.0234883385997348,0.0954149561058991,0.0352959475817167,0.6892910647392273,-0.1791461855173111,0.3991438746452331,v5_4b_repaired_h20_seed8765_20260829_162404
2026,20,8765,all,expanding,152590,11100,164740,6900,20,0.1163730357007667,0.0840064575916464,0.0665884488367764,0.6826711606096338,-0.1806980967521667,0.3842253684997558,v5_4b_repaired_h20_seed8765_20260829_162404
2018,20,9999,all,expanding,55678,10878,67585,12226,10,0.042780611465116,0.0478059556152826,0.0086055396873394,0.6871607411991466,-0.1552808582782745,0.7390825152397156,v5_4b_repaired_h20_seed9999_20260829_162403
2019,20,9999,all,expanding,67585,11176,79790,12050,1,0.1013709368104035,-0.0534852717565354,-0.0118446631878461,0.817682513823876,-0.1627968847751617,0.7242862582206726,v5_4b_repaired_h20_seed9999_20260829_162403
2020,20,9999,all,expanding,79790,11000,91840,12250,10,0.0532010080660146,0.0905099345860793,0.0287505307962997,0.6879191557566325,-0.1599200069904327,0.6954249143600464,v5_4b_repaired_h20_seed9999_20260829_162403
2021,20,9999,all,expanding,91840,11200,104090,12150,40,0.1036332135014261,0.0516276121812613,0.0218956649409776,0.6561666306327371,-0.1662531495094299,0.5463051795959473,v5_4b_repaired_h20_seed9999_20260829_162403
