year,horizon,seed,feature_set,train_window,train_rows,valid_rows,refit_rows,test_rows,best_epoch,best_valid_ic,test_ic,test_spread,refit_final_loss,clip_lo,clip_hi,run
2019,20,7,all,expanding,67585,11176,79790,12050,25,0.0884589690792632,0.0036255847335643,-0.0053928644659195,0.6800024096782391,-0.1627968847751617,0.7242862582206726,v5_4_repaired_h20_seed7_20260829_155441
2020,20,7,all,expanding,79790,11000,91840,12250,1,0.1339981802748089,0.035511674057378,0.0114052995183567,0.8331919153531392,-0.1599200069904327,0.6954249143600464,v5_4_repaired_h20_seed7_20260829_155441
2021,20,7,all,expanding,91840,11200,104090,12150,20,0.1119323443663179,0.053149410909374,0.033672022588615,0.6806790513150832,-0.1662531495094299,0.5463051795959473,v5_4_repaired_h20_seed7_20260829_155441
2022,20,7,all,expanding,104090,11100,116240,12300,5,0.0902536622517821,0.0620377229390469,0.0150233579436543,0.6893337839528134,-0.175417959690094,0.5726451873779297,v5_4_repaired_h20_seed7_20260829_155441
2023,20,7,all,expanding,116240,11250,128540,11950,25,0.0776835595705081,0.0547642116928749,0.0150866897051995,0.6766754161743891,-0.1767710298299789,0.4736236035823822,v5_4_repaired_h20_seed7_20260829_155441
2024,20,7,all,expanding,128540,10900,140490,12100,1,0.0972626893277934,-0.0055823615498488,0.006570740879212,0.7864332795143127,-0.174796313047409,0.4286563694477081,v5_4_repaired_h20_seed7_20260829_155441
2025,20,7,all,expanding,140490,11050,152590,12150,35,0.013844936390854,0.0789437750408805,0.0238715063754023,0.6681256294250488,-0.1791461855173111,0.3991438746452331,v5_4_repaired_h20_seed7_20260829_155441
2026,20,7,all,expanding,152590,11100,164740,6850,15,0.1300200080032013,0.0842628074337707,0.0627378611970994,0.6836722669778047,-0.1806980967521667,0.3842253684997558,v5_4_repaired_h20_seed7_20260829_155441
2018,20,42,all,expanding,55678,10878,67585,12226,15,0.0420932147031086,0.0638777486545591,0.0154676949339927,0.6839397278699008,-0.1552808582782745,0.7390825152397156,v5_4_repaired_h20_seed42_20260829_155441
2019,20,42,all,expanding,67585,11176,79790,12050,20,0.0807906852418952,0.0261149341728476,-0.0016040052573496,0.6833471930944003,-0.1627968847751617,0.7242862582206726,v5_4_repaired_h20_seed42_20260829_155441
