horizon,execution_delay,slippage_bps,phases,cagr_min,cagr_median,cagr_max,market_cagr_median,alpha_cagr_min,alpha_cagr_median,alpha_cagr_max,beat_market_fraction,active_sharpe_min,active_sharpe_median,active_sharpe_max,positive_sharpe_fraction,worst_sharpe_phase,worst_alpha_phase,rebalance_mdd_worst,positive_alpha_years_min,worst_year_alpha_min,phase0_cagr,phase0_active_sharpe
20,2,50,20,0.23860966111873272,0.32429972638438764,0.41115011816700475,0.24231562302214094,-0.004731440661567499,0.08173270830293156,0.17375470847474772,0.95,0.04114898769335832,0.39567108152909475,0.6804970465314951,1.0,1,1,-0.37250767055366096,5,-0.6341562804450206,0.3179319542510275,0.39498996198622766
20,2,100,20,0.1567143466237908,0.23831908659557366,0.3180855950717174,0.24231562302214094,-0.08662675515650942,-0.004531951513298327,0.08069018537946038,0.4,-0.32296217224445783,0.060933464598331585,0.377978120616107,0.6,1,1,-0.42053417180156216,3,-0.705292444270918,0.23417607413754205,0.05528304839240991
20,3,0,20,0.32893442152246233,0.4137774772643522,0.5176563483971983,0.2416048253029065,0.08787165323437973,0.16967863256938231,0.28084169520582347,1.0,0.4209871532352954,0.7251759955367107,1.0026635112341795,1.0,1,1,-0.3019825106187902,6,-0.5468587067563606,0.4157286178152668,0.7764436875016298
20,3,10,20,0.3110231871920206,0.39481349750246797,0.49724271924274754,0.2416048253029065,0.069960418903938,0.15092271537188817,0.2604280660513727,1.0,0.3491306241874498,0.6578753879444433,0.9443897912429217,1.0,1,1,-0.3094993460656582,6,-0.5616347952460852,0.39740704240811686,0.7062661261222902
20,3,20,20,0.29333145742919164,0.3760813649445508,0.4770793731999885,0.2416048253029065,0.05226868914110905,0.13239381653888327,0.24026472000861365,1.0,0.2773253973662217,0.5904530499872997,0.885902594836659,1.0,1,1,-0.31694608646899525,6,-0.576210240215308,0.37930161375147553,0.636084761564911
20,3,30,20,0.27585680624616926,0.35757851727589673,0.45716353642530816,0.2416048253029065,0.034794037958086665,0.11381587628207135,0.2203488832339333,1.0,0.2055814352220554,0.5222951994273117,0.8272051523873748,1.0,1,1,-0.3259280434348635,5,-0.59058749578013,0.3614100261900248,0.565906418150768
20,3,50,20,0.24154915516548825,0.32125055385567824,0.4180634326150676,0.2416048253029065,0.00048638687740565345,0.0770837803840867,0.18124877942369277,1.0,0.06231686541997291,0.39038082281653785,0.7091928589832774,1.0,1,1,-0.34399757318969226,5,-0.6187571216616041,0.32625926164299646,0.4255860499192948
20,3,100,20,0.15941364067153674,0.23426859320203963,0.3244556523828932,0.2416048253029065,-0.08164912761654586,-0.009986765425387678,0.08764099919151835,0.3,-0.2940875703002917,0.03347985717570862,0.4107245993490901,0.7,1,1,-0.40054582827203,3,-0.6911972687974952,0.24196736639243865,0.07531339178467993
20,5,0,20,0.3336616075790526,0.4048052965932517,0.5294618196249059,0.24114117464569196,0.08941871984981353,0.16356686765069184,0.2879905361521202,1.0,0.4327735516606756,0.731062675722199,1.0365513705385407,1.0,1,1,-0.3203659279867923,6,-0.5567435780434421,0.3981521673846651,0.7076792303133769
20,5,10,20,0.31563260524604964,0.386132908304883,0.5089223280549833,0.24114117464569196,0.07138971751681056,0.14467235301211157,0.2674510445821976,1.0,0.36210642492576245,0.6609844052540561,0.9759768677694332,1.0,1,1,-0.329346578405431,6,-0.5686549811964505,0.38002519853068106,0.6350468596122537
20,5,20,20,0.29782525324512377,0.3676864175504918,0.4886342133538799,0.24114117464569196,0.05358236551588469,0.12601030691997106,0.24716292988109423,1.0,0.29148687889190555,0.5907953513458766,0.9151757079116039,1.0,1,1,-0.33822244580874006,6,-0.5814259020698159,0.362112493062708,0.5623845461294572
20,5,30,20,0.280237093657002,0.3494633576472531,0.4685946950791664,0.24114117464569196,0.03599420592776292,0.10757814537579458,0.22712341160638072,1.0,0.22092403511626116,0.520212390940427,0.8541517275142206,1.0,1,1,-0.34699459274192734,5,-0.5970214213561247,0.34441176071134594,0.4896999666071773
20,5,50,20,0.24570864153860383,0.31379356498530153,0.42925046337310846,0.24114117464569196,0.001465753809364756,0.07139326817037062,0.18777917990032278,1.0,0.08000469001939323,0.37726879648192047,0.73145113450559,1.0,1,1,-0.3642319295803941,4,-0.6274981405318717,0.30963716369988736,0.34429475153743744
20,5,100,20,0.16305595741106993,0.22812181849120905,0.33505092781382895,0.24114117464569196,-0.08118693031816915,-0.015221935215390614,0.09357964434104327,0.25,-0.27067369497364313,0.029771593292415237,0.4210873468050712,0.6,1,1,-0.44518543408289724,2,-0.6996750311893852,0.22625405579652558,-0.01907007048646563
