horizon,feature_set,train_window,execution_delay,slippage_bps,entry_k,exit_k,periods,start,end,total_return,cagr,gross_total_return,market_total_return,market_cagr,ew_net_total_return,ew_net_cagr,active_sharpe,strategy_sharpe,rebalance_max_drawdown,mean_turnover,cost_sum,positive_alpha_years,years,worst_year,worst_year_alpha
10,all,expanding,2,5,15,25,208,2018-01-04,2026-08-03,11.272161916253024,0.3395166255824278,19.82165373984228,5.473021198490027,0.243254717099322,5.450959386484684,0.24275997505486857,0.5145078060400097,1.3583971463484845,-0.2376909408516199,0.3715652975025932,0.5279062358816948,7,9,2024,-0.32925372010079124
10,all,expanding,2,10,5,10,208,2018-01-04,2026-08-03,7.659109213954066,0.28615136179548206,22.6593478500458,5.473021198490027,0.243254717099322,5.421196702547365,0.2420901651121492,0.25573407690058486,0.9271909058579991,-0.3547272100917863,0.6150078337664064,1.0023847909737884,5,9,2024,-0.5814082139453126
10,all,expanding,2,10,10,15,208,2018-01-04,2026-08-03,9.235259680024006,0.311471606949161,24.00137397718744,5.473021198490027,0.243254717099322,5.421196702547365,0.2420901651121492,0.34910814926402306,1.1960623997238211,-0.27370961412089645,0.5465943672699736,0.8909792828784128,6,9,2024,-0.416604269911069
10,all,expanding,2,10,10,20,208,2018-01-04,2026-08-03,11.701640307191834,0.34489905672807786,24.96425311596299,5.473021198490027,0.243254717099322,5.421196702547365,0.2420901651121492,0.4882582974920795,1.2449614044251631,-0.28742680747603533,0.4379425417151067,0.7135725821124261,6,9,2024,-0.39217685016445536
10,all,expanding,2,10,15,25,208,2018-01-04,2026-08-03,10.356734203474947,0.32746501897776525,19.82165373984228,5.473021198490027,0.243254717099322,5.421196702547365,0.2420901651121492,0.45741654056594366,1.320101273951717,-0.2482266348209472,0.3715652975025932,0.6051918177622342,7,9,2024,-0.3415784311425054
10,all,expanding,2,20,5,10,208,2018-01-04,2026-08-03,5.693764113370671,0.24812458118699854,22.6593478500458,5.473021198490027,0.243254717099322,5.362076089354652,0.2407514789373597,0.14385509483328593,0.837164733231223,-0.36030437005887017,0.6150078337664064,1.2582280498206138,5,9,2024,-0.6087685052709553
10,all,expanding,2,20,10,15,208,2018-01-04,2026-08-03,7.143641441092878,0.276981631770975,24.00137397718744,5.473021198490027,0.243254717099322,5.362076089354652,0.2407514789373597,0.20583004307674466,1.0918482688027842,-0.3038652314036673,0.5465943672699736,1.118362539662722,5,9,2024,-0.448141768411886
10,all,expanding,2,20,10,20,208,2018-01-04,2026-08-03,9.577510899716684,0.3165101607945897,24.96425311596299,5.473021198490027,0.243254717099322,5.362076089354652,0.2407514789373597,0.37682598521820826,1.1651009973931827,-0.294291767685683,0.4379425417151067,0.8957566794659106,6,9,2024,-0.4190181030308069
10,all,expanding,2,20,15,25,208,2018-01-04,2026-08-03,8.724693438393464,0.30367130711544954,19.82165373984228,5.473021198490027,0.243254717099322,5.362076089354652,0.2407514789373597,0.34324891259122703,1.2434666411571875,-0.2688776437416708,0.3715652975025932,0.7597629815233129,6,9,2024,-0.36586052086447673
10,all,expanding,2,30,5,10,208,2018-01-04,2026-08-03,4.172611596144494,0.21117083276296844,22.6593478500458,5.473021198490027,0.243254717099322,5.3034911306240105,0.23941403670165462,0.03185778178856872,0.7469607529729838,-0.42471126479094246,0.6150078337664064,1.5140713086674387,5,9,2024,-0.6353611524298262
10,all,expanding,2,30,10,15,208,2018-01-04,2026-08-03,5.477656350929447,0.24335847223729457,24.00137397718744,5.473021198490027,0.243254717099322,5.3034911306240105,0.23941403670165462,0.06262544270447466,0.9874096859868949,-0.3328001480893966,0.5465943672699736,1.345745796447031,5,9,2024,-0.478809990923418
10,all,expanding,2,30,10,20,208,2018-01-04,2026-08-03,7.806966481552948,0.2886925586552993,24.96425311596299,5.473021198490027,0.243254717099322,5.3034911306240105,0.23941403670165462,0.265472434178225,1.085177947389307,-0.30109786766806657,0.4379425417151067,1.077940776819395,5,9,2024,-0.44524421916686396
10,all,expanding,2,30,15,25,208,2018-01-04,2026-08-03,7.326104847045766,0.28028465919501233,19.82165373984228,5.473021198490027,0.243254717099322,5.3034911306240105,0.23941403670165462,0.22911923671387022,1.166780302181182,-0.2889801341042125,0.3715652975025932,0.9143341452843916,6,9,2024,-0.38966057301541457
10,all,expanding,2,50,5,10,208,2018-01-04,2026-08-03,2.085415790504113,0.14036781070447923,22.6593478500458,5.473021198490027,0.243254717099322,5.187909079075775,0.23674287921048687,-0.19239838902836434,0.5660668373163248,-0.5430431146706001,0.6150078337664064,2.025757826361089,4,9,2024,-0.6863250442977527
10,all,expanding,2,50,10,15,208,2018-01-04,2026-08-03,3.094997303271186,0.1786299610748685,24.00137397718744,5.473021198490027,0.243254717099322,5.187909079075775,0.23674287921048687,-0.22341426031509515,0.7779149784713093,-0.38719862081088074,0.5465943672699736,1.8005123100156488,4,9,2024,-0.5376296183820907
10,all,expanding,2,50,10,20,208,2018-01-04,2026-08-03,5.101953764977769,0.23472768015059642,24.96425311596299,5.473021198490027,0.243254717099322,5.187909079075775,0.23674287921048687,0.04310278696056968,0.9251817901893474,-0.3250079279022462,0.4379425417151067,1.4423089715263637,5,9,2024,-0.4959045795524726
10,all,expanding,2,50,15,25,208,2018-01-04,2026-08-03,5.101039917335813,0.23470612085197695,19.82165373984228,5.473021198490027,0.243254717099322,5.187909079075775,0.23674287921048687,0.0010602542419034986,1.0132788740878729,-0.32759550151469974,0.3715652975025932,1.223476472806549,5,9,2024,-0.435850958968256
10,all,3,1,0,5,10,208,2018-01-03,2026-07-31,14.025161270612827,0.37177548685057693,30.367201123095438,5.388176246555,0.24151526248992838,5.479567142054408,0.24357426530635662,0.5173239429129622,1.1886075806798202,-0.33258124636812536,0.6053849844754466,0.7345324491097235,6,9,2024,-0.3847089449975667
10,all,3,1,0,10,15,208,2018-01-03,2026-07-31,8.783482218570649,0.3048092454707021,18.064828705814058,5.388176246555,0.24151526248992838,5.479567142054408,0.24357426530635662,0.3315706892709242,1.2111370219031943,-0.23819247959875134,0.5485265515087371,0.6659471078758313,6,9,2024,-0.37799291346606156
10,all,3,1,0,10,20,208,2018-01-03,2026-07-31,9.880623957840736,0.32108848459011097,17.507733762275016,5.388176246555,0.24151526248992838,5.479567142054408,0.24357426530635662,0.4016727506709697,1.2262166946101458,-0.23829209158440678,0.4372501762701488,0.5303960144855171,6,9,2024,-0.3935334440137639
10,all,3,1,0,15,25,208,2018-01-03,2026-07-31,8.334293659305521,0.29767471514471966,13.78357544749448,5.388176246555,0.24151526248992838,5.479567142054408,0.24357426530635662,0.3207363243552404,1.247152948700724,-0.25235293727226493,0.3786433615989583,0.4592332423936125,6,9,2024,-0.34034542744875984
10,all,3,1,5,5,10,208,2018-01-03,2026-07-31,12.240050808573809,0.3516840283195868,30.367201123095438,5.388176246555,0.24151526248992838,5.449788007770647,0.24290618577395984,0.4565083387955107,1.1404023858178383,-0.3485149798220232,0.6053849844754466,0.8604525258806164,6,9,2024,-0.4003501987366396
10,all,3,1,5,10,15,208,2018-01-03,2026-07-31,7.724668373996481,0.28749047929579885,18.064828705814058,5.388176246555,0.24151526248992838,5.449788007770647,0.24290618577395984,0.25687483264819516,1.1568874832264282,-0.24295472121981054,0.5485265515087371,0.7800406305896487,5,9,2024,-0.3937057138966962
10,all,3,1,5,10,20,208,2018-01-03,2026-07-31,8.931727218384601,0.30710038762999536,17.507733762275016,5.388176246555,0.24151526248992838,5.449788007770647,0.24290618577395984,0.3438319923391404,1.1844652166199632,-0.24006618856908846,0.4372501762701488,0.621344051149708,6,9,2024,-0.4073938243468622
10,all,3,1,5,15,25,208,2018-01-03,2026-07-31,7.625459110501202,0.2857739714154699,13.78357544749448,5.388176246555,0.24151526248992838,5.449788007770647,0.24290618577395984,0.2623550540223467,1.2073351530397511,-0.25261914898347204,0.3786433615989583,0.5379910616061959,6,9,2024,-0.3525367706500264
10,all,3,1,10,5,10,208,2018-01-03,2026-07-31,10.665990192662562,0.3318730426009313,30.367201123095438,5.388176246555,0.24151526248992838,5.420143536109551,0.24223841554046266,0.3956159811470081,1.0921418429716527,-0.36407929595137567,0.6053849844754466,0.9863726026515093,6,9,2024,-0.41578522681051244
10,all,3,1,10,10,15,208,2018-01-03,2026-07-31,6.779892372328076,0.27039107266977713,18.064828705814058,5.388176246555,0.24151526248992838,5.420143536109551,0.24223841554046266,0.18208389828779334,1.1025628260898568,-0.24768994732856842,0.5485265515087371,0.8941341533034661,5,9,2024,-0.40921133131424314
10,all,3,1,10,10,20,208,2018-01-03,2026-07-31,8.065150691700202,0.29325319739820377,17.507733762275016,5.388176246555,0.24151526248992838,5.420143536109551,0.24223841554046266,0.2859463814672842,1.1426676195491505,-0.24780230301897754,0.4372501762701488,0.712292087813899,6,9,2024,-0.42109065993436157
10,all,3,1,10,15,25,208,2018-01-03,2026-07-31,6.970175633238106,0.27397720346087984,13.78357544749448,5.388176246555,0.24151526248992838,5.420143536109551,0.24223841554046266,0.20392963472317177,1.1674867771303548,-0.2528853150422651,0.3786433615989583,0.6167488808187792,6,9,2024,-0.3646072359677328
10,all,3,1,20,5,10,208,2018-01-03,2026-07-31,8.054607269815346,0.29307763945835075,30.367201123095438,5.388176246555,0.24151526248992838,5.361256182007542,0.24090380237035558,0.27361713914166647,0.9954627820957098,-0.3941327408810438,0.6053849844754466,1.238212756193295,6,9,2024,-0.44604692369672083
10,all,3,1,20,10,15,208,2018-01-03,2026-07-31,5.1848663781499615,0.23683978367676284,18.064828705814058,5.388176246555,0.24151526248992838,5.361256182007542,0.24090380237035558,0.03224140003517819,0.9936973871226474,-0.27826973383103437,0.5485265515087371,1.1223211987311006,5,9,2024,-0.4396113983174339
10,all,3,1,20,10,20,208,2018-01-03,2026-07-31,6.551151961523941,0.2659761587701648,17.507733762275016,5.388176246555,0.24151526248992838,5.361256182007542,0.24090380237035558,0.1700583074494323,1.058940617817922,-0.27026817563293326,0.4372501762701488,0.8941881611422808,6,9,2024,-0.44800103664433677
10,all,3,1,20,15,25,208,2018-01-03,2026-07-31,5.80446375318525,0.25069214656244787,13.78357544749448,5.388176246555,0.24151526248992838,5.361256182007542,0.24090380237035558,0.08696122323288649,1.0877029975573766,-0.26312559443019967,0.3786433615989583,0.7742645192439459,6,9,2024,-0.3883900964756293
10,all,3,1,30,5,10,208,2018-01-03,2026-07-31,6.025264842499316,0.2553600431409926,30.367201123095438,5.388176246555,0.24151526248992838,5.30290030880511,0.23957042459690148,0.15135995399557395,0.898586650150663,-0.42344440636068614,0.6053849844754466,1.490052909735081,4,9,2024,-0.4755143650438929
10,all,3,1,30,10,15,208,2018-01-03,2026-07-31,3.915450471661541,0.20413457111820787,18.064828705814058,5.388176246555,0.24151526248992838,5.30290030880511,0.23957042459690148,-0.11790717889715764,0.8845593347691358,-0.31061008573152793,0.5485265515087371,1.3505082441587353,5,9,2024,-0.46921356801733394
10,all,3,1,30,10,20,208,2018-01-03,2026-07-31,5.288805359744408,0.23924673348331704,17.507733762275016,5.388176246555,0.24151526248992838,5.30290030880511,0.23957042459690148,0.05404409893644027,0.9750488754595262,-0.2939047856163802,0.4372501762701488,1.0760842344706627,6,9,2024,-0.47427905796053405
10,all,3,1,30,15,25,208,2018-01-03,2026-07-31,4.808438306056381,0.2278127156060259,13.78357544749448,5.388176246555,0.24151526248992838,5.30290030880511,0.23957042459690148,-0.030139021924771036,1.0078110773252953,-0.27592763593876657,0.3786433615989583,0.9317801576691125,4,9,2024,-0.41170303356369287
10,all,3,1,50,5,10,208,2018-01-03,2026-07-31,3.2245667136351024,0.18304498243272715,30.367201123095438,5.388176246555,0.24151526248992838,5.187764130497063,0.23690737044728194,-0.09379733134606935,0.704309038386021,-0.4807103527793942,0.6053849844754466,1.9937332168186521,2,9,2024,-0.5321453993911651
10,all,3,1,50,10,15,208,2018-01-03,2026-07-31,2.1021072331563677,0.1411815101824767,18.064828705814058,5.388176246555,0.24151526248992838,5.187764130497063,0.23690737044728194,-0.41892107768607073,0.6655411888599846,-0.3711128119725837,0.5485265515087371,1.8068823350140044,3,9,2024,-0.526103608722268
10,all,3,1,50,10,20,208,2018-01-03,2026-07-31,3.3594082275069868,0.1873891389576836,17.507733762275016,5.388176246555,0.24151526248992838,5.187764130497063,0.23690737044728194,-0.1782194078636873,0.8068245614204117,-0.3389832947718536,0.4372501762701488,1.4398763811274264,5,9,2024,-0.5249944323073463
10,all,3,1,50,15,25,208,2018-01-03,2026-07-31,3.230661172371966,0.18324395116258185,13.78357544749448,5.388176246555,0.24151526248992838,5.187764130497063,0.23690737044728194,-0.2646145093969824,0.8477409901816677,-0.3009044871412715,0.3786433615989583,1.2468114345194459,3,9,2024,-0.45695442875510217
10,all,3,2,0,5,10,208,2018-01-04,2026-08-03,11.872539156318041,0.34699621784169943,25.865925327749007,5.473021198490027,0.243254717099322,5.480857797693004,0.24343009643626057,0.4238950501859978,1.1186788267083356,-0.32923289367091846,0.6051604517625565,0.7342592377046787,6,9,2024,-0.41482656444491295
10,all,3,2,0,10,15,208,2018-01-04,2026-08-03,6.968188467195941,0.27374326338873933,14.5184732873617,5.473021198490027,0.243254717099322,5.480857797693004,0.24343009643626057,0.18692877545383899,1.1094057447413468,-0.26200538308371724,0.5480551791861467,0.6653735420337032,5,9,2024,-0.3771711414683192
