horizon,phase,calendar_anchor,model_source,feature_set,train_window,entry_k,exit_k,execution_delay,slippage_bps,periods,start,end,total_return,cagr,gross_total_return,market_total_return,market_cagr,ew_net_total_return,ew_net_cagr,active_sharpe,strategy_sharpe,rebalance_max_drawdown,mean_turnover,cost_sum,positive_alpha_years,years,worst_year,worst_year_alpha,alpha_cagr
20,14,0050.TW,v5_4_repaired,all,expanding,10,15,3,50,103,2018-01-25,2026-07-24,9.644609447415622,0.32111629459879265,25.65412090261824,5.228213191249583,0.24031960886338655,5.215303932809654,0.2400166265423087,0.37630020928101016,1.1112640790954629,-0.23298568907031492,0.5604448935166568,0.9134543109106181,6,9,2024,-0.44035125471121517,0.0807966857354061
20,14,0050.TW,v5_4_repaired,all,expanding,10,15,3,100,103,2018-01-25,2026-07-24,4.932048486920469,0.23322475888712013,25.65412090261824,5.228213191249583,0.24031960886338655,5.006090154380578,0.23502729096220065,0.051795487415776796,0.8701250785842765,-0.32287853710104597,0.5604448935166568,1.4907125512327746,4,9,2024,-0.5096346037578966,-0.007094849976266415
20,14,0050.TW,v5_4_repaired,all,expanding,10,15,5,0,103,2018-01-29,2026-07-28,16.25236464386164,0.39841070349736496,23.165893990102305,4.94213540128386,0.23347148707581034,5.33203760650805,0.24273643768137143,0.6863465728182259,1.2615165248615159,-0.2189250927293671,0.5607715087653785,0.33639287260657874,7,9,2024,-0.39820737257247085,0.16493921642155462
20,14,0050.TW,v5_4_repaired,all,expanding,10,15,5,10,103,2018-01-29,2026-07-28,14.36277945046432,0.37943995924759144,23.165893990102305,4.94213540128386,0.23347148707581034,5.288121510567156,0.2417184555129992,0.6205328254009349,1.2163007092666285,-0.22617168145517852,0.5607715087653785,0.4519118034122466,7,9,2024,-0.41456263667278037,0.1459684721717811
20,14,0050.TW,v5_4_repaired,all,expanding,10,15,5,20,103,2018-01-29,2026-07-28,12.678208519912912,0.36070379272724806,23.165893990102305,4.94213540128386,0.23347148707581034,5.244501267378985,0.24070110300656156,0.5546293642394642,1.1709992946927186,-0.23335901849988427,0.5607715087653785,0.5674307342179146,7,9,2024,-0.43070439580827946,0.12723230565143773
20,14,0050.TW,v5_4_repaired,all,expanding,10,15,5,30,103,2018-01-29,2026-07-28,11.17661959416061,0.3421995814675285,23.165893990102305,4.94213540128386,0.23347148707581034,5.201174933280081,0.2396843796776884,0.48864222464137064,1.1256140707717641,-0.24048752403189222,0.5607715087653785,0.6829496650235828,6,9,2024,-0.4466351858122042,0.10872809439171816
20,14,0050.TW,v5_4_repaired,all,expanding,10,15,5,50,103,2018-01-29,2026-07-28,8.645736688146282,0.3058766658566412,23.165893990102305,4.94213540128386,0.23347148707581034,5.1153962800513995,0.23765281861486298,0.3564412586158092,1.0345994497638311,-0.25456970859094874,0.5607715087653785,0.9139875266349186,6,9,2024,-0.4778738661644546,0.07240517878083086
20,14,0050.TW,v5_4_repaired,all,expanding,10,15,5,100,103,2018-01-29,2026-07-28,4.373560713288331,0.2189500162324851,23.165893990102305,4.94213540128386,0.23347148707581034,4.905959383869862,0.2325848926478451,0.024904343772897766,0.805725153484638,-0.29114534751223176,0.5607715087653785,1.491582180663258,5,9,2024,-0.5524509493391657,-0.014521470843325224
20,15,0050.TW,v5_4_repaired,all,expanding,10,15,1,0,103,2018-01-24,2026-07-23,17.112654783443887,0.40644623651068157,24.103042377484392,5.277499056891873,0.24147128347278568,5.597102960993821,0.24875164454996246,0.7935215235271776,1.4134931791400642,-0.24516363417853904,0.543204297206943,0.3258077492820435,8,9,2024,-0.40261974943283363,0.1649749530378959
20,15,0050.TW,v5_4_repaired,all,expanding,10,15,1,10,103,2018-01-24,2026-07-23,15.18770569633476,0.3879616805397066,24.103042377484392,5.277499056891873,0.24147128347278568,5.551517664427592,0.2477325287053922,0.7164360601628648,1.3632801544436,-0.2468338386250859,0.543204297206943,0.4377078345066738,8,9,2024,-0.4163423313390626,0.1464903970669209
