model,seed,top_k,mean_ic,median_year_ic,mean_spread,positive_alpha_years,years,mean_alpha_vs_0050,mean_alpha_vs_equal_weight,median_alpha_vs_0050,mean_turnover,mean_active_sharpe,mean_best_epoch,mean_valid_ic,run,clip_q,hidden,lr
mlp_reg,42,5,0.032273121561287,0.0277011489482894,0.0053264968964185,3,9,-0.0375299487705856,-0.0276514130887198,-0.1104338330738574,0.7205648474475856,-0.167718946747521,20.0,0.0553932672045389,v3_mlp_reg_seed42_20260828_222151,0.01,"[1024, 512, 256]",0.001
mlp_reg,42,10,0.032273121561287,0.0277011489482894,0.0053264968964185,3,9,-0.058966107826513,-0.0490875721446472,-0.0515429691052606,0.6305864612102208,-0.2604154573536885,20.0,0.0553932672045389,v3_mlp_reg_seed42_20260828_222151,0.01,"[1024, 512, 256]",0.001
mlp_reg,7,3,0.0212307629226017,0.0288035543520126,0.0030319410257852,4,9,-0.1009635377796337,-0.0910850020977678,-0.1488711398917312,0.7361644427320345,-0.4653922126491311,20.11111111111111,0.0535051387925253,v3_mlp_reg_seed7_20260828_220645,0.01,"[1024, 512, 256]",0.001
mlp_reg,7,5,0.0212307629226017,0.0288035543520126,0.0030319410257852,3,9,-0.076625212093601,-0.0667466764117351,-0.0952711767490606,0.7040061914386496,-0.4083152060085456,20.11111111111111,0.0535051387925253,v3_mlp_reg_seed7_20260828_220645,0.01,"[1024, 512, 256]",0.001
mlp_reg,7,10,0.0212307629226017,0.0288035543520126,0.0030319410257852,3,9,-0.094936170967315,-0.0850576352854491,-0.0395717742228345,0.6284405116965944,-0.4951384181804166,20.11111111111111,0.0535051387925253,v3_mlp_reg_seed7_20260828_220645,0.01,"[1024, 512, 256]",0.001
mlp_reg,8765,3,0.0329752693571159,0.0308740925978268,0.006240782726977,5,9,-0.0212883210820871,-0.0114097854002212,0.0021388964931257,0.7600755146550906,-0.5054634809912438,26.666666666666668,0.0604597477484833,v3_mlp_reg_seed8765_20260828_225339,0.01,"[1024, 512, 256]",0.001
mlp_reg,8765,5,0.0329752693571159,0.0308740925978268,0.006240782726977,4,9,-0.0447289065416896,-0.0348503708598238,-0.0016537409329506,0.7220741686593202,-0.4957869166347092,26.666666666666668,0.0604597477484833,v3_mlp_reg_seed8765_20260828_225339,0.01,"[1024, 512, 256]",0.001
mlp_reg,8765,10,0.0329752693571159,0.0308740925978268,0.006240782726977,5,9,-0.0522154548127708,-0.042336919130905,0.0001812362238399,0.6108061310324894,-0.4797225657321948,26.666666666666668,0.0604597477484833,v3_mlp_reg_seed8765_20260828_225339,0.01,"[1024, 512, 256]",0.001
mlp_reg,9999,3,0.0247556377591535,0.0251579582709453,0.0039807824729543,1,9,-0.2004693845673848,-0.1905908488855189,-0.2164110759891926,0.7968338598393182,-0.729599295835728,23.0,0.0529635360714149,v3_mlp_reg_seed9999_20260828_225339,0.01,"[1024, 512, 256]",0.001
mlp_reg,9999,5,0.0247556377591535,0.0251579582709453,0.0039807824729543,2,9,-0.1177169860753853,-0.1078384503935195,-0.1466980760235257,0.7614434090925032,-0.6152425476467159,23.0,0.0529635360714149,v3_mlp_reg_seed9999_20260828_225339,0.01,"[1024, 512, 256]",0.001
mlp_reg,9999,10,0.0247556377591535,0.0251579582709453,0.0039807824729543,4,9,-0.0997911828449258,-0.0899126471630599,-0.0458046730903241,0.6744697806170529,-0.6629481406037914,23.0,0.0529635360714149,v3_mlp_reg_seed9999_20260828_225339,0.01,"[1024, 512, 256]",0.001
