horizon,feature_set,train_window,year,seeds,ic_mean,ic_median,ic_std,spread_mean
10,all,8,2026,16,0.05730414872043107,0.056658587768283405,0.012131468952258353,0.032070116751544975
10,all,expanding,2018,16,0.05166844571136773,0.05303577649255285,0.0095959703194641,0.005644922500640332
10,all,expanding,2019,16,0.0020768641325420063,0.0111507514667785,0.03386564553861899,-0.0008527635010877502
10,all,expanding,2020,16,0.04132908428266796,0.040623098990365,0.027830949655941892,0.0056065393159069245
10,all,expanding,2021,16,0.04825941611972284,0.04980346864055375,0.01676915943624253,0.015098337538805975
10,all,expanding,2022,16,0.034189050739066876,0.034333788004910604,0.014627717980481438,0.006691247328645069
10,all,expanding,2023,16,0.017949847680500307,0.0225576406788604,0.020599008511303227,0.004230074193688663
10,all,expanding,2024,16,-0.00035042551790801207,-0.0057088376976857,0.02306828611754434,-0.0009878329424487875
10,all,expanding,2025,16,0.07748732551050247,0.0743583887973944,0.028424742539114888,0.015584741098919486
10,all,expanding,2026,16,0.049674367616540455,0.057229931812968496,0.02916666398057571,0.030816437693549185
10,no_absolute_returns,3,2018,16,0.03477026400789716,0.0293208546641203,0.014412216067510591,0.006710523458681931
10,no_absolute_returns,3,2019,16,-0.03682791631373885,-0.035545490495496046,0.029949859610900593,-0.007181860081216925
10,no_absolute_returns,3,2020,16,0.029646457966950736,0.0207554159866488,0.03942039555606627,0.005189795560858938
10,no_absolute_returns,3,2021,16,0.023902076027015544,0.0258976484064386,0.016500021448110188,0.014599386778047488
10,no_absolute_returns,3,2022,16,-0.006859734415487312,-0.007929052007090251,0.008621918875096921,0.0004289622986947875
10,no_absolute_returns,3,2023,16,0.002229101834152031,0.00820845627461045,0.0191661321886504,0.0005477958050303688
10,no_absolute_returns,3,2024,16,0.00019391661579406822,-0.001113296650899,0.03425424120370342,0.0004543444201927751
10,no_absolute_returns,3,2025,16,0.041787582174265626,0.0419995313652882,0.031797036792786386,0.0076579881538446255
10,no_absolute_returns,3,2026,16,0.0678052480714933,0.06678978843293865,0.01067875489081526,0.03429233359750684
10,no_absolute_returns,5,2018,16,0.051290546281375166,0.052490752436378255,0.01213394898330457,0.006642767279395868
10,no_absolute_returns,5,2019,16,-0.0139255983655926,-0.0123230274467986,0.023479537716563772,-0.0034564402100292
10,no_absolute_returns,5,2020,16,0.06565752178771411,0.07624925096177955,0.05452066427572585,0.012719459967847357
10,no_absolute_returns,5,2021,16,0.015412621384620868,0.0082540848451354,0.02290061126814759,0.011874295438195175
10,no_absolute_returns,5,2022,16,-0.0030429239477343752,-0.00172999847223055,0.012582081954239634,-2.6375296698256252e-05
10,no_absolute_returns,5,2023,16,0.010160102581401,0.01744787378962075,0.03164593376574548,0.0038896076104661375
10,no_absolute_returns,5,2024,16,-0.004289517922560763,-0.00417501260218185,0.03573333565054411,0.0013861176019236625
10,no_absolute_returns,5,2025,16,0.07369881001059223,0.08748558985530155,0.0476408337195919,0.0143436630576821
10,no_absolute_returns,5,2026,16,0.05483614995197136,0.0510005789289559,0.015584164636195939,0.03063478615835646
10,no_absolute_returns,8,2018,16,0.05864621164012076,0.062132133946925044,0.011972989947957424,0.00778930135841675
10,no_absolute_returns,8,2019,16,0.006021621808884012,0.013146475140613751,0.01603373113921328,-0.0005208985742496062
10,no_absolute_returns,8,2020,16,0.058762508095051326,0.0677527882168385,0.025581261028975445,0.009766583808249393
10,no_absolute_returns,8,2021,16,0.04885256375021153,0.0573811787585819,0.01725978151643997,0.014147457520917662
10,no_absolute_returns,8,2022,16,0.027560925944000225,0.02741746331977845,0.01571654412204236,0.004920043861210313
10,no_absolute_returns,8,2023,16,0.012914899268651886,0.017800778096459698,0.022550624179009316,0.004098032912044988
10,no_absolute_returns,8,2024,16,0.012302256499895563,0.0181461824031336,0.022159048982338173,0.002348030459687219
10,no_absolute_returns,8,2025,16,0.06477599157106176,0.0807925235145164,0.049389062012097994,0.013387626088802649
10,no_absolute_returns,8,2026,16,0.05972660090136227,0.0669728612388974,0.02364249093817897,0.03141178865002323
10,no_absolute_returns,expanding,2018,16,0.05864621164012076,0.062132133946925044,0.011972989947957424,0.00778930135841675
10,no_absolute_returns,expanding,2019,16,0.006021621808884012,0.013146475140613751,0.01603373113921328,-0.0005208985742496062
10,no_absolute_returns,expanding,2020,16,0.058762508095051326,0.0677527882168385,0.025581261028975445,0.009766583808249393
10,no_absolute_returns,expanding,2021,16,0.041410159883540625,0.0437322452552496,0.016104194462595225,0.0120758525984875
10,no_absolute_returns,expanding,2022,16,0.03732507094713644,0.0401145375230524,0.01689728856484078,0.006451589289971106
10,no_absolute_returns,expanding,2023,16,0.0172294345932178,0.024691621620200402,0.02112419366529397,0.003957511743370375
10,no_absolute_returns,expanding,2024,16,0.005676726631988656,0.0013427624916619,0.015627881029431627,0.00010707038578298126
10,no_absolute_returns,expanding,2025,16,0.1051561224810672,0.10713851902411994,0.02603016808831458,0.022290572159600917
10,no_absolute_returns,expanding,2026,16,0.059469055427933515,0.060820798718361505,0.008931432839162779,0.033146517051668364
10,no_market_context,3,2018,16,0.04772621027787683,0.04748303349810265,0.007920920352788054,0.008167846264735193
10,no_market_context,3,2019,16,-0.016144560304638875,-0.0008129699109521999,0.043510226742510295,-0.003155302013386353
10,no_market_context,3,2020,16,0.06505421369180368,0.06524593979686805,0.041459372041723556,0.014221119565643587
10,no_market_context,3,2021,16,0.021921768282425314,0.0264452345595746,0.015422206545147275,0.01647760197426575
10,no_market_context,3,2022,16,0.017505810178246917,0.02039847543997365,0.011881619295042702,0.004956680584667387
10,no_market_context,3,2023,16,-0.003952051249824675,-0.0036238341905246,0.019249911164319195,-0.0016529663917559687
10,no_market_context,3,2024,16,-0.0017997638069282688,0.00324066599755215,0.021491893391682212,-0.0013688408804093937
10,no_market_context,3,2025,16,0.043173466411608026,0.04778140496683055,0.029682753120411735,0.004239024963216863
10,no_market_context,3,2026,16,0.07737870722618301,0.075178747217506,0.010092992925075912,0.0308165380233609
10,no_market_context,5,2018,16,0.043631489944820114,0.04464981732379025,0.008410625853287662,0.005645229251827593
10,no_market_context,5,2019,16,0.006582418664062957,0.022669301306622,0.036179596073062224,0.00022551775159506874
10,no_market_context,5,2020,16,0.07448081565885284,0.07915449987182965,0.03042397916839705,0.014767540218756531
10,no_market_context,5,2021,16,0.03818959277181451,0.04071487988572245,0.0129435386493836,0.015367863419384224
10,no_market_context,5,2022,16,0.0030728196279921566,0.005898919503640699,0.016180655941591522,0.0016776645564144823
10,no_market_context,5,2023,16,0.0039245980259935385,0.0093265873820175,0.024668079886354877,0.00203731736135385
10,no_market_context,5,2024,16,0.02051262275421281,0.0249101294882892,0.03154510497533266,0.003297599567132719
10,no_market_context,5,2025,16,0.05644938893738645,0.055304280614518905,0.050861065693820165,0.007788012602655256
10,no_market_context,5,2026,16,0.041636552011703166,0.040981525387321555,0.017201851650902194,0.0229443218198155
10,no_market_context,8,2018,16,0.050589202895243365,0.0513206979971995,0.011280215983167278,0.006692278155561344
10,no_market_context,8,2019,16,0.01025972314878202,0.0122946107719063,0.029973400711585198,0.0007337307088564641
10,no_market_context,8,2020,16,0.04568395093980256,0.05801890397185215,0.029462550782236304,0.006946701610829481
10,no_market_context,8,2021,16,0.043416318683817796,0.051317787970304854,0.020979527145095406,0.0148454392129409
10,no_market_context,8,2022,16,0.017918455515734892,0.017053230201487,0.013073605690881961,0.0034343732936664563
10,no_market_context,8,2023,16,0.007178491234324593,0.0100992282576183,0.012780474268644048,0.0035683573656890436
10,no_market_context,8,2024,16,0.027217159130360425,0.01776340978014165,0.04244172303546805,0.0039850598532467805
10,no_market_context,8,2025,16,0.07843079338586578,0.08545605301291534,0.022384108644197792,0.01546351334873898
10,no_market_context,8,2026,16,0.054259384378676466,0.05487367571522675,0.010873047354862561,0.0265705398777218
10,no_market_context,expanding,2018,16,0.050589202895243365,0.0513206979971995,0.011280215983167278,0.006692278155561344
10,no_market_context,expanding,2019,16,0.01025972314878202,0.0122946107719063,0.029973400711585198,0.0007337307088564641
10,no_market_context,expanding,2020,16,0.04568395093980256,0.05801890397185215,0.029462550782236304,0.006946701610829481
10,no_market_context,expanding,2021,16,0.04096589818131758,0.04469908316359015,0.017613015316471088,0.014698321784304082
10,no_market_context,expanding,2022,16,0.031210016034329068,0.031583433756615945,0.011477581589772443,0.005239844589309613
10,no_market_context,expanding,2023,16,0.0162551072479066,0.01970223466260185,0.014182797268210475,0.0042236109060114786
10,no_market_context,expanding,2024,16,0.04585099481361428,0.0419666709988601,0.02881607716732755,0.005608138358392994
10,no_market_context,expanding,2025,16,0.08900650373526442,0.1062780392361593,0.03265065421905789,0.015570179303142938
10,no_market_context,expanding,2026,16,0.04234681663002088,0.0380166977398866,0.016228540642520266,0.02428108080789863
10,no_relative,3,2018,16,0.05538095567379544,0.0608027625835934,0.013484369029334215,0.00682456062958845
10,no_relative,3,2019,16,-0.039952394888125554,-0.03558881160813905,0.03188145193388486,-0.007418105182460138
10,no_relative,3,2020,16,0.03512917640631873,0.03479906094132125,0.044942347958727834,0.0065700572414763
10,no_relative,3,2021,16,0.03485015756643355,0.033865102084368395,0.010401703346892712,0.01394335129189315
10,no_relative,3,2022,16,-0.011306732133535375,-0.013409884441001451,0.011115034105995038,-0.00037770206450491876
10,no_relative,3,2023,16,0.00902640816832855,0.0071332555007555,0.025981536892083663,0.002836824889135869
10,no_relative,3,2024,16,-0.0068260948388142815,-0.01125386464476405,0.025392056167630316,-0.001674385148224456
10,no_relative,3,2025,16,0.03130340370467935,0.029566354335290097,0.03619078553270584,0.004520105838081313
10,no_relative,3,2026,16,0.06073302839540893,0.061903403659508346,0.012402154539940225,0.030479324415959498
10,no_relative,5,2018,16,0.048074365347235956,0.0487305044689325,0.011951793144167153,0.005027185744534206
10,no_relative,5,2019,16,-0.00945753738995935,0.0084755932722359,0.0362680061377057,-0.0019517526867924315
10,no_relative,5,2020,16,0.0590805964203391,0.0667452608337651,0.04555660857017507,0.011546108205367113
10,no_relative,5,2021,16,0.041168257401954865,0.0455556446202694,0.024574352766724965,0.015204944906239231
10,no_relative,5,2022,16,0.005840958110610038,0.009776069430951401,0.011435371436043392,0.0007549635388691758
10,no_relative,5,2023,16,0.013126225421632024,0.0190393433959564,0.02219220943608757,0.004555874320604668
10,no_relative,5,2024,16,-0.001098073493953469,0.00037876421613399977,0.033602513695149196,0.001987169145606075
10,no_relative,5,2025,16,0.05474994504264041,0.052856266670257945,0.03705335466385808,0.010296039757514256
10,no_relative,5,2026,16,0.051400225132437964,0.05410287333700275,0.016588087799490163,0.029973716862430985
10,no_relative,8,2018,16,0.054897910126734915,0.055129222295878605,0.00899039904275989,0.005717376376666644
10,no_relative,8,2019,16,0.006472409782755282,0.0047302867916104,0.017843344813236024,-6.898089517244001e-06
10,no_relative,8,2020,16,0.058071582299722646,0.0579716615840346,0.026699728065864417,0.008336237012912218
10,no_relative,8,2021,16,0.05872200791534999,0.058580903895755945,0.01369714622180587,0.01803575183842591
10,no_relative,8,2022,16,0.024095282911662613,0.02719503089462425,0.010123614254740584,0.0039417808502910465
10,no_relative,8,2023,16,0.01503197340496023,0.01589819227596405,0.023540346251654996,0.005731409003725581
10,no_relative,8,2024,16,0.0070532877014663565,0.00697727420608555,0.020993094157475543,0.0006874984171146313
10,no_relative,8,2025,16,0.07993089429219266,0.08181814214217656,0.022109003030641852,0.019491199690836312
10,no_relative,8,2026,16,0.0648175051678963,0.0659013607383024,0.012480520048626473,0.03384396870579996
10,no_relative,expanding,2018,16,0.054897910126734915,0.055129222295878605,0.00899039904275989,0.005717376376666644
10,no_relative,expanding,2019,16,0.006472409782755282,0.0047302867916104,0.017843344813236024,-6.898089517244001e-06
10,no_relative,expanding,2020,16,0.058071582299722646,0.0579716615840346,0.026699728065864417,0.008336237012912218
10,no_relative,expanding,2021,16,0.05489439279497352,0.05628486476439515,0.012779785123475875,0.01598290644333181
10,no_relative,expanding,2022,16,0.034751553583637115,0.0347215592340309,0.013956383970963942,0.005813481873983831
10,no_relative,expanding,2023,16,0.011068992707873112,0.02000785781891265,0.02675321948098161,0.004312334526796437
10,no_relative,expanding,2024,16,-0.0044036345205810444,-0.0079416371802231,0.017220291217325382,-0.0016740195181711563
