year,feature,importance
2023,vol_5,0.016822202131152153
2023,vol_20,0.025382088497281075
2023,ma5_ratio,0.01362110860645771
2023,ma20_ratio,0.01819365657866001
2023,ma60_ratio,0.019479675218462944
2023,rsi_14,0.024814197793602943
2023,volume_ratio,0.04016811028122902
2023,range_ratio,0.016688361763954163
2023,market_ret_1,0.2235463261604309
2023,market_ret_5,0.2349000871181488
2023,market_ret_20,0.13415205478668213
2023,market_ma20_ratio,0.13247042894363403
2023,excess_ret_1,0.015295048244297504
2023,excess_ret_5,0.01863701082766056
2023,excess_ret_20,0.01720714196562767
2024,ret_1,0.014321117661893368
2024,ret_5,0.01953073963522911
2024,ret_20,0.02183041349053383
2024,vol_5,0.0180429108440876
2024,vol_20,0.025336241349577904
2024,ma5_ratio,0.014495780691504478
2024,ma20_ratio,0.018337048590183258
2024,ma60_ratio,0.02161065675318241
2024,rsi_14,0.025578418746590614
2024,volume_ratio,0.04588652402162552
2024,range_ratio,0.017455104738473892
2024,market_ret_1,0.18489615619182587
2024,market_ret_5,0.2304697334766388
2024,market_ret_20,0.12515492737293243
2024,market_ma20_ratio,0.16186338663101196
2024,excess_ret_1,0.016824359074234962
2024,excess_ret_5,0.01824699155986309
2024,excess_ret_20,0.02011937089264393
2025,ret_1,0.014178208075463772
2025,ret_5,0.018215062096714973
2025,ret_20,0.021080994978547096
2025,vol_5,0.018775783479213715
2025,vol_20,0.02533242106437683
2025,ma5_ratio,0.014977198094129562
2025,ma20_ratio,0.01993437297642231
2025,ma60_ratio,0.02115265652537346
2025,rsi_14,0.02792092226445675
2025,volume_ratio,0.03772108629345894
2025,range_ratio,0.01815936528146267
2025,market_ret_1,0.19229501485824585
2025,market_ret_5,0.2310953587293625
2025,market_ret_20,0.14628447592258453
2025,market_ma20_ratio,0.1362319141626358
2025,excess_ret_1,0.017109714448451996
2025,excess_ret_5,0.01814964972436428
2025,excess_ret_20,0.021385768428444862
2026,ret_1,0.014706461690366268
2026,ret_5,0.018570780754089355
2026,ret_20,0.02426237426698208
2026,vol_5,0.01920309104025364
2026,vol_20,0.028252234682440758
2026,ma5_ratio,0.013600288890302181
2026,ma20_ratio,0.02036030776798725
2026,ma60_ratio,0.021119412034749985
2026,rsi_14,0.02700144238770008
2026,volume_ratio,0.053388260304927826
2026,range_ratio,0.018415631726384163
2026,market_ret_1,0.12232507765293121
2026,market_ret_5,0.2509438097476959
2026,market_ret_20,0.1598316878080368
2026,market_ma20_ratio,0.1503453403711319
2026,excess_ret_1,0.016343694180250168
2026,excess_ret_5,0.017810847610235214
2026,excess_ret_20,0.023519206792116165
