date,portfolio_ret,benchmark_ret,realized_alpha,top_k,stocks,test_year,strategy_equity,benchmark_equity
2021-12-07,-0.03712817422013848,-0.02096436767887333,-0.016163806541265147,5,"3037.TW,3017.TW,2327.TW,2303.TW,2884.TW",2021,1.5521070986602903,1.8958863683871916
2021-12-14,0.03654386723371528,0.013204891665947294,0.023338975567767983,5,"2615.TW,2618.TW,2603.TW,2609.TW,6669.TW",2021,1.608827094406239,1.9209213424926908
2021-12-21,-0.0077471521797323195,0.02465669022237149,-0.03240384240210381,5,"2615.TW,2345.TW,2886.TW,5880.TW,2002.TW",2021,1.5963632660749973,1.968284904976075
2021-12-28,-0.0019249092921130861,0.019594081102369598,-0.021518990394482684,5,"2615.TW,2618.TW,3008.TW,6669.TW,9910.TW",2021,1.5932904115905415,2.006851639036746
2022-01-03,-0.058614840636636356,-0.0006769787649729686,-0.05793786187166339,5,"2615.TW,2618.TW,2609.TW,3037.TW,2454.TW",2022,1.4998999480272812,2.0054930430926667
2022-01-10,-0.05547688329352751,0.03116524102906193,-0.08664212432258944,5,"3008.TW,2615.TW,3037.TW,2603.TW,2618.TW",2022,1.4166901736586037,2.0679947171627564
2022-01-17,-0.05352664954984421,-0.042861275050076975,-0.010665374499767233,5,"3008.TW,2615.TW,2603.TW,2883.TW,1590.TW",2022,1.3408594952124717,1.9793578267883374
2022-01-24,0.042260951266859026,0.009470421081326785,0.03279053018553224,5,"3017.TW,2357.TW,2883.TW,2327.TW,2882.TW",2022,1.3975254929953511,1.9981031788786427
2022-02-09,0.011137126188848656,0.0034745102802855587,0.007662615908563097,5,"4904.TW,2412.TW,6669.TW,2885.TW,1102.TW",2022,1.4130899107629733,2.005045608914728
2022-02-16,0.013644062418856517,-0.022853084863858175,0.03649714728271469,5,"2618.TW,2615.TW,3017.TW,2882.TW,2886.TW",2022,1.4323701977088796,1.9592241314582934
2022-02-23,0.00434254130274403,-0.018426742218110692,0.022769283520854722,5,"2618.TW,2615.TW,3037.TW,2408.TW,2884.TW",2022,1.43859032445325,1.9231220134404097
2022-03-03,-0.0436059948997356,-0.019133447092881672,-0.024472547806853928,5,"2618.TW,2615.TW,3037.TW,6669.TW,1590.TW",2022,1.3758591621023326,1.8863260601430916
2022-03-10,0.0018323454854569654,0.005520803724698986,-0.0036884582392420207,5,"2618.TW,2345.TW,2615.TW,3017.TW,2609.TW",2022,1.3783802114266355,1.8967400960819263
2022-03-17,-0.018938135290915925,0.013176967835628384,-0.03211510312654431,5,"3017.TW,2615.TW,2357.TW,2609.TW,2603.TW",2022,1.3522762605003165,1.9217333793205444
2022-03-24,0.0021439505294664762,-0.013005603666780163,0.01514955419624664,5,"2618.TW,2603.TW,6669.TW,2345.TW,2615.TW",2022,1.355175473905001,1.8967400766358793
2022-03-31,-0.06381405899616022,-0.03257697117923086,-0.031237087816929354,5,"3037.TW,3017.TW,2345.TW,2454.TW,2603.TW",2022,1.2686962262630779,1.83495002982482
2022-04-11,-0.027981071578035643,0.0007568215005506751,-0.02873789307858632,5,"3037.TW,6669.TW,1303.TW,2887.TW,1101.TW",2022,1.233196746345227,1.8363387594598275
2022-04-18,-0.009372402555221426,-0.01890367085066269,0.009531268295441264,5,"2618.TW,2345.TW,2886.TW,2454.TW,2892.TW",2022,1.2216387300086902,1.8016252159806847
2022-04-25,0.024465087903600802,-0.011175233809129437,0.03564032171273024,5,"2603.TW,3017.TW,2345.TW,2454.TW,9910.TW",2022,1.251526228924796,1.7814916329556771
2022-05-03,-0.03000924608258093,-0.03468438687338349,0.004675140790802557,5,"2454.TW,3037.TW,2303.TW,2880.TW,2884.TW",2022,1.2139688703421871,1.7197016879465468
2022-05-10,0.008736883677995966,0.012111332298646138,-0.0033744486206501723,5,"2345.TW,3008.TW,2317.TW,3037.TW,2618.TW",2022,1.224575175151075,1.74052956654381
2022-05-17,0.015833065106384492,-0.013163125779648066,0.028996190886032558,5,"2345.TW,2615.TW,3008.TW,3017.TW,2618.TW",2022,1.243963953626904,1.7176187569361976
2022-05-24,0.0456140028630565,0.0452708154410173,0.00034318742203920394,5,"3037.TW,6669.TW,2618.TW,2395.TW,1590.TW",2022,1.3007061289691808,1.7953767586794858
2022-05-31,-0.010169589899456266,-0.008507416975417015,-0.0016621729240392513,5,"3711.TW,1326.TW,2207.TW,5876.TW,2395.TW",2022,1.287478481057855,1.7801027399654268
2022-06-08,-0.028941677319055614,-0.03198120018063766,0.0030395228615820447,5,"6669.TW,2881.TW,3017.TW,2618.TW,2883.TW",2022,1.2502166943038506,1.723172917896491
2022-06-15,-0.0668623053648496,-0.03464941447341496,-0.03221289089143464,5,"6669.TW,1590.TW,3037.TW,3008.TW,2207.TW",2022,1.1666243239170737,1.6634659852549316
2022-06-22,-0.026215222835396568,-0.01752930344668202,-0.008685919388714547,5,"2603.TW,3037.TW,2454.TW,1590.TW,2379.TW",2022,1.1360410073003937,1.634306585226164
2022-06-29,-0.06778880716350966,-0.0700934551822735,0.002304648018763844,5,"9910.TW,2615.TW,3037.TW,3711.TW,6669.TW",2022,1.059030142526668,1.5197523898405194
2022-07-06,0.009561203492128856,0.02969394665609104,-0.020132743163962186,5,"3037.TW,2615.TW,2603.TW,2345.TW,2609.TW",2022,1.0691557452236637,1.5648798362349108
2022-07-13,0.1206274716452691,0.040167798136086175,0.08045967350918293,5,"2615.TW,3037.TW,2603.TW,2379.TW,3034.TW",2022,1.1981252995650078,1.6277376136040262
2022-07-20,0.02736454342085448,0.021230499774345768,0.006134043646508713,5,"2603.TW,3008.TW,1216.TW,2609.TW,1303.TW",2022,1.2309114513485788,1.6622952966423405
2022-07-27,-0.039827108838530245,-0.01079418520395814,-0.029032923634572105,5,"3017.TW,6669.TW,3034.TW,2379.TW,2881.TW",2022,1.1818878070051257,1.6443521733467146
2022-08-03,0.053116820167508294,0.029652045899698054,0.02346477426781024,5,"6669.TW,3037.TW,2345.TW,2379.TW,5871.TW",2022,1.2446659291079878,1.6931105794660597
2022-08-10,0.01739800789889956,0.013355527324978356,0.004042480573921203,5,"3037.TW,3034.TW,3017.TW,2379.TW,2615.TW",2022,1.2663206367740998,1.7157229640743286
2022-08-17,-0.00400995947679017,-0.02388796450651809,0.01987800502972792,5,"3037.TW,2609.TW,3017.TW,2345.TW,6669.TW",2022,1.2612427423360124,1.674737834805503
2022-08-24,-0.03940445651273272,-0.02531648233485584,-0.014087974177876883,5,"2345.TW,2887.TW,5871.TW,2880.TW,3231.TW",2022,1.2115441575436332,1.632339363995135
2022-08-31,-0.008099060353093712,-0.021212048903786584,0.013112988550692872,5,"2345.TW,1590.TW,2002.TW,2892.TW,1101.TW",2022,1.2017317882912493,1.5977141015784941
2022-09-07,-0.012478682674744612,-0.003538365733456117,-0.008940316941288495,5,"2002.TW,1101.TW,1216.TW,2885.TW,2880.TW",2022,1.1867357586450094,1.5920608047496092
2022-09-15,-0.03848915499385597,-0.02130491785161448,-0.017184237142241487,5,"3037.TW,1216.TW,2002.TW,2892.TW,1101.TW",2022,1.1410593020937703,1.5581420800896435
2022-09-22,-0.07909963539885201,-0.06303850003332212,-0.01606113536552989,5,"2603.TW,2615.TW,1102.TW,2892.TW,9910.TW",2022,1.0508019273296845,1.459919140521992
2022-09-29,0.10635184862329061,0.039690159568327,0.06666168905496361,5,"2603.TW,2609.TW,2615.TW,3037.TW,2327.TW",2022,1.162556654838113,1.5178635641661646
2022-10-06,-0.06930896198886838,-0.06936679526611855,5.78332772501744e-05,5,"2615.TW,2603.TW,3017.TW,2609.TW,1326.TW",2022,1.0819810598380322,1.4125742330687492
2022-10-14,-0.03227538845177902,0.008003955495202497,-0.040279343946981516,5,"2618.TW,2615.TW,2603.TW,3017.TW,2345.TW",2022,1.0470597008342921,1.4238804143639012
2022-10-21,-0.013222045878193756,-0.01885854501773543,0.005636499139541673,5,"2618.TW,2603.TW,3037.TW,2615.TW,2609.TW",2022,1.0332154294326532,1.3970281014697479
2022-10-28,0.04490724091563458,0.009610540833278725,0.03529670008235586,5,"2615.TW,2603.TW,2609.TW,6669.TW,1101.TW",2022,1.0796142836399363,1.4104542970841607
2022-11-04,0.08797928510904551,0.10020043336479545,-0.012221148255749936,5,"2603.TW,2330.TW,1101.TW,2615.TW,5871.TW",2022,1.174597976508092,1.5517824288932316
2022-11-11,-0.011459904848473923,0.04143881105917435,-0.052898715907648275,5,"2618.TW,2603.TW,6669.TW,3017.TW,2912.TW",2022,1.1611371954620993,1.6160864477690848
2022-11-18,-0.01298067508401668,0.0021863373356094673,-0.015167012419626147,5,"3037.TW,2327.TW,3034.TW,6669.TW,5871.TW",2022,1.1460648507998394,1.619619757907415
2022-11-25,0.0396623114201855,0.02356021653819096,0.016102094881994544,5,"3034.TW,3037.TW,2412.TW,3008.TW,2327.TW",2022,1.191520431819991,1.6577783501132461
2022-12-02,-0.061169280495732226,-0.026427929296466313,-0.03474135119926591,5,"2345.TW,2330.TW,2454.TW,3037.TW,2379.TW",2022,1.118635984309598,1.6139667010872407
2022-12-09,-0.004760107586866735,-0.01619966027309394,0.011439552686227206,5,"3017.TW,3008.TW,5871.TW,2327.TW,1590.TW",2022,1.113311156673744,1.5878209888375412
2022-12-16,0.003563733466430463,-0.013796112703686858,0.01735984617011732,5,"2603.TW,2327.TW,5871.TW,2002.TW,3034.TW",2022,1.1172787009013325,1.5659152315222589
2022-12-23,-0.013585783701422494,-0.010830298280957162,-0.002755485420465331,5,"2345.TW,5871.TW,3017.TW,3711.TW,2603.TW",2022,1.1020995941366807,1.5489559024821786
2022-12-30,0.008686319981835888,0.057937773930003544,-0.049251453948167656,5,"9910.TW,5871.TW,3037.TW,3017.TW,2615.TW",2022,1.1116727838632035,1.6386989593877357
2023-01-03,0.01079106277317865,0.05757016750311572,-0.04677910472993707,5,"3037.TW,5871.TW,3017.TW,2615.TW,2395.TW",2023,1.1236689146571055,1.733039132966869
2023-01-10,-0.004460554615201562,0.05888816676788888,-0.06334872138309044,5,"3037.TW,3034.TW,2615.TW,2609.TW,2412.TW",2023,1.1186567280938733,1.8350946304442997
2023-01-17,-0.00461127636927261,-0.00579467667904543,0.0011834003097728196,5,"3037.TW,5871.TW,3034.TW,6669.TW,2454.TW",2023,1.1134982927582862,1.8244608503854225
2023-02-03,-0.003251466330560615,0.004995822424530338,-0.008247288755090953,5,"3037.TW,2330.TW,2303.TW,2454.TW,2379.TW",2023,1.109877790550246,1.8335755328144556
2023-02-10,-0.0031354922782005357,-0.01781272962256153,0.014677237344360994,5,"2303.TW,2379.TW,2330.TW,3034.TW,1590.TW",2023,1.1063977773082294,1.8009145476058874
2023-02-17,-0.014560121807367321,-0.010544070813414796,-0.004016050993952525,5,"9910.TW,2618.TW,3017.TW,2345.TW,2330.TW",2023,1.090288490903221,1.7819255770870222
2023-02-24,0.0255922070832022,0.027280486167213125,-0.001688279084010924,5,"6669.TW,3037.TW,3034.TW,2379.TW,2454.TW",2023,1.1181913797428484,1.830537373143748
2023-03-07,-0.02095344176992331,-0.01742735922869676,-0.0035260825412265495,5,"6669.TW,2345.TW,2379.TW,3017.TW,1216.TW",2023,1.0947614217797765,1.7986359407604169
2023-03-14,0.0029035236222532124,0.00886814668791236,-0.005964623065659147,5,"2609.TW,3034.TW,3008.TW,2382.TW,4904.TW",2023,1.0979400874286456,1.8145865081212316
2023-03-21,0.0023229897094052543,0.010046067110561552,-0.0077230774011562975,5,"1590.TW,3034.TW,3231.TW,2454.TW,2379.TW",2023,1.1004905909532858,1.832815965959737
2023-03-28,0.007337209244896004,0.004973114945737045,0.0023640942991589586,5,"2603.TW,5871.TW,2609.TW,2615.TW,9910.TW",2023,1.1085651206911493,1.8419307704328367
2023-04-07,0.017369478259793292,-0.007422643074498914,0.024792121334292205,5,"3231.TW,2345.TW,1590.TW,2330.TW,1216.TW",2023,1.1278203184545594,1.828258775755977
2023-04-14,-0.02208641480698459,-0.021188235149544155,-0.0008981796574404344,5,"3008.TW,6669.TW,2382.TW,2412.TW,2408.TW",2023,1.1029108110734265,1.7895211989010416
2023-04-21,0.018404225257893092,-0.0029711780601774374,0.02137540331807053,5,"3231.TW,6669.TW,3045.TW,2412.TW,2883.TW",2023,1.1232090300797875,1.7842042127766444
2023-04-28,0.002331237120450913,0.009791472066471352,-0.007460234946020439,5,"3231.TW,2880.TW,6669.TW,2887.TW,1216.TW",2023,1.125827496664735,1.8016741984869276
2023-05-08,-0.010741596937855258,-0.00590218220023131,-0.004839414737623948,5,"3017.TW,3231.TW,2885.TW,2883.TW,2887.TW",2023,1.113734311474008,1.791040389102002
2023-05-15,0.04824043202102679,0.037319796196011,0.01092063582501579,5,"3017.TW,3231.TW,5871.TW,2357.TW,2618.TW",2023,1.167461335816155,1.8578816514021128
2023-05-22,0.10793103103617185,0.03638582784762101,0.07154520318855084,5,"3037.TW,2615.TW,9910.TW,6669.TW,2345.TW",2023,1.293466641485659,1.9254822133312839
2023-05-29,-0.012438616759666288,-0.003155758665425945,-0.009282858094240343,5,"2345.TW,2382.TW,3231.TW,2207.TW,3037.TW",2023,1.2773777056408062,1.9194058561514402
2023-06-05,0.017838003251838597,0.030470838233400244,-0.012632834981561647,5,"3231.TW,2345.TW,3037.TW,2615.TW,3017.TW",2023,1.3001635733078531,1.977891761498472
2023-06-12,0.08688748170572391,0.006912556605619402,0.07997492510010451,5,"2382.TW,2345.TW,2207.TW,3017.TW,6669.TW",2023,1.4131315119980878,1.9915640502596184
2023-06-19,-0.023665827394030337,-0.010297590400783041,-0.013368236993247296,5,"3017.TW,2345.TW,2382.TW,2618.TW,3231.TW",2023,1.379688585550076,1.9710557394131203
2023-06-28,0.03554185061362247,-0.00038531077569081695,0.03592716138931329,5,"3231.TW,2618.TW,3711.TW,2308.TW,2207.TW",2023,1.428725271151017,1.970296270397237
2023-07-05,0.1483492780782456,0.012336134005036525,0.13601314407320908,5,"3017.TW,3231.TW,6669.TW,2382.TW,2603.TW",2023,1.640675633698416,1.9946021092184811
2023-07-12,-0.00806918598635864,-0.0027824365183154454,-0.005286749468043195,5,"3017.TW,2382.TW,6669.TW,2609.TW,2603.TW",2023,1.6274367168668167,1.9890522554702825
2023-07-19,0.1256153582949795,0.0007749116148192403,0.12484044668016026,5,"2382.TW,3037.TW,6669.TW,3231.TW,2345.TW",2023,1.831867763158447,1.990593595165529
